"V1";"V2";"V3"
"1";1000;479.99999997187;0.25
"2";1010;477.529350164313;0.244162627806332
"3";1020;475.116108083835;0.238517069921331
"4";1030;472.758396404098;0.233055234411959
"5";1040;470.454416619484;0.227769444740586
"6";1050;468.202445017901;0.222652414712719
"7";1060;466.000828895339;0.217697225156252
"8";1070;463.847982995548;0.21289730219758
"9";1080;461.74238615948;0.208246397011561
"10";1090;459.682578170336;0.203738566932803
"11";1100;457.665396217451;0.200547920137437
"12";1110;455.661727744237;0.2001864284417
"13";1120;453.661654698925;0.199828821727417
"14";1130;451.665138612938;0.199475024109772
"15";1140;449.672141765795;0.199124961841172
"16";1150;447.682627164133;0.198778563232932
"17";1160;445.696558521496;0.198435758580475
"18";1170;443.713900238849;0.198096480091879
"19";1180;441.734617385802;0.197760661819568
"20";1190;439.758675682489;0.197428239595012
"21";1200;437.7860414821;0.197099150966259
"22";1210;435.816681754006;0.196773335138161
"23";1220;433.850564067491;0.196450732915153
"24";1230;431.887656576021;0.196131286646469
"25";1240;429.927928002069;0.195814940173646
"26";1250;427.971347622439;0.195501638780237
"27";1260;426.017885254091;0.195191329143592
"28";1270;424.067511240439;0.194883959288624
"29";1280;422.120196438093;0.194579478543463
"30";1290;420.175912204044;0.194277837496893
"31";1300;418.234630383262;0.193978987957511
"32";1310;416.296323296699;0.193682882914496
"33";1320;414.360963729667;0.19338947649994
"34";1330;412.428524920595;0.19309872395265
"35";1340;410.498980550136;0.192810581583364
"36";1350;408.572304730616;0.192525006741303
"37";1360;406.648471995809;0.192241957782012
"38";1370;404.727457291035;0.191961394036421
"39";1380;402.809235963548;0.191683275781082
"40";1390;400.893783753233;0.191407564209512
"41";1400;398.981076783565;0.191134221404612
"42";1410;397.071091552859;0.1908632103121
"43";1420;395.163804925762;0.190594494714927
"44";1430;393.259194125012;0.190328039208616
"45";1440;391.357236723424;0.190063809177506
"46";1450;389.457910636126;0.189801770771833
"47";1460;387.561194113003;0.189541890885652
"48";1470;385.667065731371;0.189284137135519
"49";1480;383.775504388853;0.189028477839943
"50";1490;381.886489296462;0.188774881999545
"51";1500;379.999999971871;0.188523319277908
"52";1510;378.11586590098;0.188303780656632
"53";1520;376.233918684657;0.18808594427714
"54";1530;374.354141422248;0.18786978587125
"55";1540;372.476517453262;0.187655281672519
"56";1550;370.601030352421;0.187442408402693
"57";1560;368.727663924841;0.187231143258603
"58";1570;366.856402201349;0.187021463899504
"59";1580;364.987229433918;0.186813348434815
"60";1590;363.120130091226;0.186606775412269
"61";1600;361.25508885433;0.186401723806448
"62";1610;359.392090612452;0.18619817300768
"63";1620;357.531120458878;0.1859961028113
"64";1630;355.672163686961;0.185795493407246
"65";1640;353.815205786219;0.185596325369991
"66";1650;351.960232438548;0.185398579648782
"67";1660;350.107229514514;0.185202237558196
"68";1670;348.256183069752;0.185007280768979
"69";1680;346.407079341441;0.184813691299172
"70";1690;344.559904744884;0.184621451505514
"71";1700;342.714645870156;0.184430544075097
"72";1710;340.871289478842;0.184240952017286
"73";1720;339.029822500856;0.184052658655871
"74";1730;337.190232031334;0.183865647621465
"75";1740;335.352505327603;0.183679902844119
"76";1750;333.516629806219;0.183495408546167
"77";1760;331.682593040087;0.183312149235268
"78";1770;329.850382755633;0.183130109697668
"79";1780;328.019986830058;0.182949274991642
